Rxn name	Formula	Gene-reaction association	LB	UB	Objective
ACCOAC	accoa_c[c] + atp_c[c] + hco3_c[c]  -> adp_c[c] + malcoa_c[c] + pi_c[c] 	RTMO00015 or RTMO02432 or RTMO02431	  0.00	1000.00	  0.00
PGI	f6p_c[c]  -> g6p_c[c] 	RTMO03139 or RTMO02767	  0.00	1000.00	  0.00
GLYK	atp_c[c] + glyc_c[c]  -> adp_c[c] + glyc3p_c[c] + h_c[c] 	RTMO03692	  0.00	1000.00	  0.00
MAN1PT	gtp_c[c] + h_c[c] + man1p_c[c]  -> gdpmann_c[c] + ppi_c[c] 	RTMO02039	  0.00	1000.00	  0.00
CYSS	acser_c[c] + h2s_c[c]  -> ac_c[c] + cys__L_c[c] + h_c[c] 	RTMO02459 or RTMO02285 or RTMO00444 or RTMO02967 or RTMO01843	  0.00	1000.00	  0.00
BUPN	cala_c[c] + h2o_c[c] + h_c[c]  -> ala_B_c[c] + co2_c[c] + nh4_c[c] 	RTMO01367	  0.00	1000.00	  0.00
GHMT	ser__L_c[c] + thf_c[c]  -> gly_c[c] + h2o_c[c] + mlthf_c[c] 	RTMO1234	  0.00	1000.00	  0.00
METS	5mthf_c[c] + hcys__L_c[c]  -> met__L_c[c] + thf_c[c] 	RTMO02784 or RTMO02786	  0.00	1000.00	  0.00
ANS	chor_c[c] + gln__L_c[c]  -> anth_c[c] + glu__L_c[c] + h_c[c] + pyr_c[c] 	RTMO02969 or RTMO03788	  0.00	1000.00	  0.00
TAL	thr__L_c[c]  -> 2obut_c[c] + nh4_c[c] 	RTMO03186 or RTMO00786 or RTMO02095 or RTMO05351	  0.00	1000.00	  0.00
PRPPS	atp_c[c] + r5p_c[c]  -> amp_c[c] + prpp_c[c] 	RTMO02943	  0.00	1000.00	  0.00
RPI	r5p_c[c]  -> ru5p__D_c[c] 	RTMO00186	  0.00	1000.00	  0.00
PPM	r1p_c[c]  -> r5p_c[c] 	RTMO05282 or RTMO02036 or RTMO01099	  0.00	1000.00	  0.00
DRPA	2dr5p_c[c]  -> acald_c[c] + g3p_c[c] 	RTMO04143	  0.00	1000.00	  0.00
ATPPRT	atp_c[c] + prpp_c[c]  -> ppi_c[c] + prbatp_c[c] 	RTMO05097	  0.00	1000.00	  0.00
GLUPRT	gln__L_c[c] + h2o_c[c] + prpp_c[c]  -> glu__L_c[c] + h_c[c] + ppi_c[c] + pram_c[c] 	RTMO00385	  0.00	1000.00	  0.00
ANPRT	anth_c[c] + prpp_c[c]  -> h_c[c] + ppi_c[c] + pran_c[c] 	RTMO03790	  0.00	1000.00	  0.00
ADSL1r	dcamp_c[c]  -> amp_c[c] + fum_c[c] + h_c[c] 	RTMO00380	  0.00	1000.00	  0.00
ARGSL	argsuc_c[c]  -> arg__L_c[c] + fum_c[c] 	RTMO02415	  0.00	1000.00	  0.00
LEUTAi	4mop_c[c] + glu__L_c[c]  -> akg_c[c] + leu__L_c[c] 	RTMO02713	  0.00	1000.00	  0.00
IMPD	h2o_c[c] + imp_c[c] + nad_c[c]  -> h_c[c] + nadh_c[c] + xmp_c[c] 	RTMO02904	  0.00	1000.00	  0.00
ADSS	asp__L_c[c] + gtp_c[c] + imp_c[c]  -> dcamp_c[c] + gdp_c[c] + 2 h_c[c] + pi_c[c] 	RTMO02869	  0.00	1000.00	  0.00
AGMT	agm_c[c] + h2o_c[c]  -> ptrc_c[c] + urea_c[c] 	RTMO00999 or RTMO01692	  0.00	1000.00	  0.00
HISTD	h2o_c[c] + histd_c[c] + 2 nad_c[c]  -> 3 h_c[c] + his__L_c[c] + 2 nadh_c[c] 	RTMO04010	  0.00	1000.00	  0.00
