Rxn name	Formula	Gene-reaction association	LB	UB	Objective
GALKr_No1	atp_c[c] + gal_c[c] + 0.061052 prot_AOT13_RS15345[c]  -> adp_c[c] + gal1p_c[c] 	RTMO02517	  0.00	1000.00	  0.00
GGGH_No1	ggl_c[c] + h2o_c[c] + 0.01316 prot_AOT13_RS15355[c]  -> gal_c[c] + glyc_c[c] 	RTMO02513	  0.00	1000.00	  0.00
arm_NTD11	h2o_c[c] + imp_c[c]  -> pmet_NTD11[c] 	RTMO02081 or RTMO03070	  0.00	1000.00	  0.00
NTD11_No1	0.10945 prot_AOT13_RS07950[c] + pmet_NTD11[c]  -> h_c[c] + ins_c[c] + pi_c[c] 	RTMO02081 or RTMO03070	  0.00	1000.00	  0.00
NTD11_No2	0.20881 prot_AOT13_RS00310[c] + pmet_NTD11[c]  -> h_c[c] + ins_c[c] + pi_c[c] 	RTMO02081 or RTMO03070	  0.00	1000.00	  0.00
IMPC_No1	h2o_c[c] + imp_c[c] + 0.25496 prot_AOT13_RS04760[c]  -> fprica_c[c] 	RTMO00388	  0.00	1000.00	  0.00
HXPRT_No1	h_c[c] + imp_c[c] + ppi_c[c] + 0.039745 prot_AOT13_RS02710[c]  -> hxan_c[c] + prpp_c[c] 	RTMO02962	  0.00	  0.00	  0.00
NDPK8_No1	atp_c[c] + dadp_c[c] + 0.30175 prot_AOT13_RS15625[c]  -> adp_c[c] + datp_c[c] 	RTMO04294 or RTMO05248	  0.00	1000.00	  0.00
ALATA_D_No1	akg_c[c] + ala__D_c[c] + 0.13238 prot_AOT13_RS06860[c]  -> glu__D_c[c] + pyr_c[c] 	RTMO04036 or RTMO01867	  0.00	1000.00	  0.00
ALAALAr_No1	2 ala__D_c[c] + atp_c[c] + 1.2933 prot_AOT13_RS04380[c]  -> adp_c[c] + alaala_c[c] + h_c[c] + pi_c[c] 	RTMO00343	  0.00	1000.00	  0.00
PTRCTA2_No1	ptrc_c[c] + pyr_c[c] + 0.042216 prot_AOT13_RS04090[c]  -> 4abutn_c[c] + ala__L_c[c] 	RTMO02555 or RTMO03134 or RTMO01478 or RTMO03129 or RTMO00859	  0.00	1000.00	  0.00
BNOR_No1	btal_c[c] + coa_c[c] + nad_c[c] + 0.10443 prot_AOT13_RS00765[c]  -> btcoa_c[c] + nadh_c[c] 	RTMO04740 or RTMO01253 or RTMO01888 or RTMO02838 or RTMO03546	  0.00	1000.00	  0.00
BTCOAOR_No1	btcoa_c[c] + nadph_c[c] + 0.18194 prot_AOT13_RS00765[c]  -> btal_c[c] + coa_c[c] + nadp_c[c] 	RTMO02838	  0.00	  0.00	  0.00
PBUTT_No1	butpi_c[c] + coa_c[c] + 0.13098 prot_AOT13_RS16380[c]  -> btcoa_c[c] + pi_c[c] 	RTMO01155	  0.00	1000.00	  0.00
ACOAD1f_No1	btcoa_c[c] + fad_c[c] + 0.24563 prot_AOT13_RS03610[c]  -> b2coa_c[c] + fadh2_c[c] 	RTMO02304 or RTMO01260 or RTMO00865 or RTMO01925	  0.00	1000.00	  0.00
arm_ACACT2	accoa_c[c] + btcoa_c[c]  -> pmet_ACACT2[c] 	RTMO02611 or RTMO00176 or RTMO02305 or RTMO01628 or RTMO03780	  0.00	1000.00	  0.00
ACACT2_No1	0.071401 prot_AOT13_RS00405[c] + pmet_ACACT2[c]  -> 3ohcoa_c[c] + coa_c[c] 	RTMO02611 or RTMO00176 or RTMO02305 or RTMO01628 or RTMO03780	  0.00	1000.00	  0.00
ACACT2_No2	0.093365 prot_AOT13_RS03595[c] + pmet_ACACT2[c]  -> 3ohcoa_c[c] + coa_c[c] 	RTMO02611 or RTMO00176 or RTMO02305 or RTMO01628 or RTMO03780	  0.00	1000.00	  0.00
DGALIGH_No1	1Dgali_c[c] + h2o_c[c] + 0.019179 prot_AOT13_RS15355[c]  -> gal_c[c] + inost_c[c] 	RTMO02513	  0.00	1000.00	  0.00
2DHPFALDL_No1	2dhp_c[c] + 0.45286 prot_GTHT12_01478[c]  -> 3mob_c[c] + fald_c[c] 	RTMO04195	  0.00	1000.00	  0.00
arm_GLYCL	gly_c[c] + nad_c[c] + thf_c[c]  -> pmet_GLYCL[c] 	RTMO00135 or RTMO01152 or RTMO00827 or RTMO00049 or RTMO00047 or RTMO00046	  0.00	1000.00	  0.00
GLYCL_No1	0.038077 prot_AOT13_RS16365[c] + pmet_GLYCL[c]  -> co2_c[c] + mlthf_c[c] + nadh_c[c] + nh4_c[c] 	RTMO00135 or RTMO01152 or RTMO00827 or RTMO00049 or RTMO00047 or RTMO00046	  0.00	1000.00	  0.00
GLYCL_No2	pmet_GLYCL[c] + 0.029217 prot_AOT13_RS16625[c]  -> co2_c[c] + mlthf_c[c] + nadh_c[c] + nh4_c[c] 	RTMO00135 or RTMO01152 or RTMO00827 or RTMO00049 or RTMO00047 or RTMO00046	  0.00	1000.00	  0.00
GLYCL_No3	pmet_GLYCL[c] + 0.35184 prot_AOT13_RS16630[c]  -> co2_c[c] + mlthf_c[c] + nadh_c[c] + nh4_c[c] 	RTMO00135 or RTMO01152 or RTMO00827 or RTMO00049 or RTMO00047 or RTMO00046	  0.00	1000.00	  0.00
MTHFO_nadp_No1	5mthf_c[c] + nadp_c[c] + 0.063974 prot_MWM14_RS18130[c]  -> h_c[c] + mlthf_c[c] + nadph_c[c] 	RTMO02786	  0.00	  0.00	  0.00
GUAPRT_No1	gua_c[c] + prpp_c[c] + 0.053165 prot_AOT13_RS02710[c]  -> gmp_c[c] + h_c[c] + ppi_c[c] 	RTMO04344 or RTMO04957 or RTMO02962	  0.00	1000.00	  0.00
GMPS_No1	atp_c[c] + nh4_c[c] + xmp_c[c] + 0.016788 prot_AOT13_RS04645[c]  -> amp_c[c] + gmp_c[c] + 2 h_c[c] + ppi_c[c] 	RTMO00367	  0.00	1000.00	  0.00
ADD_No1	ade_c[c] + h2o_c[c] + h_c[c] + 0.058275 prot_AOT13_RS04775[c]  -> hxan_c[c] + nh4_c[c] 	RTMO00392	  0.00	1000.00	  0.00
P5CR_No1	nadp_c[c] + pro__L_c[c] + 0.094964 prot_AOT13_RS16225[c]  -> h_c[c] + nadph_c[c] + pyr5c_c[c] 	RTMO01118	  0.00	  0.00	  0.00
MDH4_No1	fad_c[c] + mal__L_c[c] + 0.5978 prot_AOT13_RS05350[c]  -> fadh2_c[c] + oaa_c[c] 	RTMO00531	  0.00	1000.00	  0.00
NNAM_No1	h2o_c[c] + ncam_c[c] + 0.23512 prot_B4109_1593[c]  -> nac_c[c] + nh4_c[c] 	RTMO04409	  0.00	1000.00	  0.00
arm_ACOAD7f	fad_c[c] + pmtcoa_c[c]  -> pmet_ACOAD7f[c] 	RTMO01260 or RTMO02304 or RTMO00865 or RTMO04474 or RTMO01925	  0.00	1000.00	  0.00
ACOAD7f_No1	pmet_ACOAD7f[c] + 0.45147 prot_GARCT_01100[c]  -> fadh2_c[c] + hdd2coa_c[c] 	RTMO01260 or RTMO02304 or RTMO00865 or RTMO04474 or RTMO01925	  0.00	1000.00	  0.00
ACOAD7f_No2	pmet_ACOAD7f[c] + 0.27871 prot_PTT_03254?[c]  -> fadh2_c[c] + hdd2coa_c[c] 	RTMO01260 or RTMO02304 or RTMO00865 or RTMO04474 or RTMO01925	  0.00	1000.00	  0.00
ACOAD7f_No3	0.04141 prot_AOT13_RS08150[c] + pmet_ACOAD7f[c]  -> fadh2_c[c] + hdd2coa_c[c] 	RTMO01260 or RTMO02304 or RTMO00865 or RTMO04474 or RTMO01925	  0.00	1000.00	  0.00
ACOAD7f_No4	pmet_ACOAD7f[c] + 0.14475 prot_Geoth_2581[c]  -> fadh2_c[c] + hdd2coa_c[c] 	RTMO01260 or RTMO02304 or RTMO00865 or RTMO04474 or RTMO01925	  0.00	1000.00	  0.00
ACOAD7f_No5	pmet_ACOAD7f[c] + 0.0047998 prot_I656_03312[c]  -> fadh2_c[c] + hdd2coa_c[c] 	RTMO01260 or RTMO02304 or RTMO00865 or RTMO04474 or RTMO01925	  0.00	1000.00	  0.00
AHHST_No1	achms_c[c] + h2s_c[c] + 0.047961 prot_AOT13_RS05010[c]  -> ac_c[c] + h_c[c] + hcys__L_c[c] 	RTMO00444 or RTMO02459 or RTMO03881	  0.00	1000.00	  0.00
ACONTa_No1	acon_C_c[c] + h2o_c[c] + 0.43664 prot_AOT13_RS09835[c]  -> cit_c[c] 	RTMO03752	  0.00	1000.00	  0.00
EPMGH_No1	epm_c[c] + h2o_c[c] + 0.01428 prot_AOT13_RS15355[c]  -> gal_c[c] + man_c[c] 	RTMO02513	  0.00	1000.00	  0.00
PPAPPT_No1	adp_c[c] + ppap_c[c] + 0.09534 prot_SPA0814[c]  -> atp_c[c] + h_c[c] + prpnte_c[c] 	RTMO00945	  0.00	1000.00	  0.00
arm_PRPNTEAT	atp_c[c] + 2 h_c[c] + prpnte_c[c]  -> pmet_PRPNTEAT[c] 	RTMO00940 or RTMO01624 or RTMO02405 or RTMO02238	  0.00	1000.00	  0.00
PRPNTEAT_No1	0.18873 prot_AOT13_RS18370[c] + pmet_PRPNTEAT[c]  -> pamp_c[c] + ppi_c[c] 	RTMO00940 or RTMO01624 or RTMO02405 or RTMO02238	  0.00	1000.00	  0.00
PRPNTEAT_No2	0.059356 prot_ETC03_27805[c] + pmet_PRPNTEAT[c]  -> pamp_c[c] + ppi_c[c] 	RTMO00940 or RTMO01624 or RTMO02405 or RTMO02238	  0.00	1000.00	  0.00
AACOAT_No1	acac_c[c] + atp_c[c] + coa_c[c] + h_c[c] + 0.0043548 prot_AOT13_RS14670[c]  -> aacoa_c[c] + amp_c[c] + ppi_c[c] 	RTMO01944	  0.00	1000.00	  0.00
HMGL_No1	hmgcoa_c[c] + 0.82095 prot_AOT13_RS13890[c]  -> acac_c[c] + accoa_c[c] + h_c[c] 	RTMO03337	  0.00	1000.00	  0.00
arm_PPNDH	co2_c[c] + h2o_c[c] + phpyr_c[c]  -> pmet_PPNDH[c] 	RTMO00996	  0.00	  0.00	  0.00
PPNDH_No1	pmet_PPNDH[c] + 0.0036784 prot_AOT13_RS03950[c]  -> h_c[c] + pphn_c[c] 	RTMO00996	  0.00	  0.00	  0.00
PPNDH_No2	pmet_PPNDH[c] + 0.0032764 prot_AOT13_RS17475[c]  -> h_c[c] + pphn_c[c] 	RTMO00996	  0.00	  0.00	  0.00
UGE_No1	3 h_c[c] + udpglcur_c[c] + 0.15853 prot_AOT13_RS12480[c]  -> udpgalur_c[c] 	RTMO02017	  0.00	1000.00	  0.00
arm_HPYRRx	glyc__R_c[c] + nad_c[c]  -> pmet_HPYRRx[c] 	RTMO03094	  0.00	  0.00	  0.00
HPYRRx_No1	0.037898 prot_GTHT12_00952[c] + pmet_HPYRRx[c]  -> h_c[c] + hpyr_c[c] + nadh_c[c] 	RTMO03094	  0.00	  0.00	  0.00
HPYRRx_No2	pmet_HPYRRx[c] + 12.3609 prot_LR69_01325[c]  -> h_c[c] + hpyr_c[c] + nadh_c[c] 	RTMO03094	  0.00	  0.00	  0.00
HPYRRy_No1	glyc__R_c[c] + nadp_c[c] + 11.919 prot_LR69_01325[c]  -> h_c[c] + hpyr_c[c] + nadph_c[c] 	RTMO03094	  0.00	  0.00	  0.00
ASPCT_No1	cbasp_c[c] + 2 h_c[c] + pi_c[c] + 0.28103 prot_AOT13_RS08735[c]  -> asp__L_c[c] + cbp_c[c] 	RTMO04123	  0.00	  0.00	  0.00
XYLI1_No1	xyl__D_c[c] + 0.14785 prot_AOT13_RS11585[c]  -> xylu__D_c[c] 	RTMO01748	  0.00	1000.00	  0.00
VALDHr_No1	3mob_c[c] + h_c[c] + nadh_c[c] + nh4_c[c] + 0.015606 prot_ETC01_RS16350[c]  -> h2o_c[c] + nad_c[c] + val__L_c[c] 	RTMO01154	  0.00	  0.00	  0.00
DHBS_No1	23dhb_c[c] + atp_c[c] + h_c[c] + 0.083012 prot_AOT13_RS02045[c]  -> 23dhba_c[c] + ppi_c[c] 	RTMO03327	  0.00	1000.00	  0.00
DHBD_No1	23ddhb_c[c] + nad_c[c] + 0.049433 prot_AOT13_RS02055[c]  -> 23dhb_c[c] + h_c[c] + nadh_c[c] 	RTMO03329	  0.00	1000.00	  0.00
PGK_No1	3pg_c[c] + atp_c[c] + h_c[c] + 0.016567 prot_AOT13_RS00760[c]  -> 13dpg_c[c] + adp_c[c] 	RTMO02322	  0.00	1000.00	  0.00
GLYCK_No1	atp_c[c] + glyc__R_c[c] + 0.024119 prot_AOT13_RS04040[c]  -> 3pg_c[c] + adp_c[c] 	RTMO02852 or RTMO00257	  0.00	1000.00	  0.00
arm_PGM	2pg_c[c]  -> pmet_PGM[c] 	RTMO02320	  0.00	1000.00	  0.00
PGM_No1	pmet_PGM[c] + 0.67972 prot_GTHT12_00895[c]  -> 3pg_c[c] 	RTMO02320	  0.00	1000.00	  0.00
PGM_No2	pmet_PGM[c] + 0.12309 prot_AOT13_RS19830[c]  -> 3pg_c[c] 	RTMO02320	  0.00	1000.00	  0.00
PGM_No3	pmet_PGM[c] + 0.12309 prot_AOT13_RS19830[c]  -> 3pg_c[c] 	RTMO02320	  0.00	1000.00	  0.00
UAGUDPGPTRANS_No1	h_c[c] + udcpp_c[c] + udpgal_c[c] + 0.11206 prot_Geoth_0306[c]  -> adgppuc_c[c] + ump_c[c] 	RTMO02544	  0.00	1000.00	  0.00
DADK_No1	atp_c[c] + damp_c[c] + 8.9526 prot_GTHT12_02591[c]  -> adp_c[c] + dadp_c[c] 	RTMO05248	  0.00	1000.00	  0.00
PUNP1_No1	adn_c[c] + h_c[c] + pi_c[c] + 0.31431 prot_AOT13_RS16145[c]  -> ade_c[c] + r1p_c[c] 	RTMO00732 or RTMO01098	  0.00	1000.00	  0.00
arm_TMDK1	atp_c[c] + thymd_c[c]  -> pmet_TMDK1[c] 	RTMO02346	  0.00	1000.00	  0.00
TMDK1_No1	0.65308 prot_AOT13_RS00900[c] + pmet_TMDK1[c]  -> adp_c[c] + dtmp_c[c] 	RTMO02346	  0.00	1000.00	  0.00
TMDK1_No2	pmet_TMDK1[c] + 1.2395 prot_AOT13_RS03675[c]  -> adp_c[c] + dtmp_c[c] 	RTMO02346	  0.00	1000.00	  0.00
arm_NTD5	dtmp_c[c] + h2o_c[c]  -> pmet_NTD5[c] 	RTMO03070 or RTMO02081	  0.00	1000.00	  0.00
NTD5_No1	0.13991 prot_AOT13_RS07950[c] + pmet_NTD5[c]  -> h_c[c] + pi_c[c] + thymd_c[c] 	RTMO03070 or RTMO02081	  0.00	1000.00	  0.00
NTD5_No2	0.13991 prot_AOT13_RS07950[c] + pmet_NTD5[c]  -> h_c[c] + pi_c[c] + thymd_c[c] 	RTMO03070 or RTMO02081	  0.00	1000.00	  0.00
NTD5_No3	0.26796 prot_AOT13_RS00310[c] + pmet_NTD5[c]  -> h_c[c] + pi_c[c] + thymd_c[c] 	RTMO03070 or RTMO02081	  0.00	1000.00	  0.00
PHEAKGAT_No1	akg_c[c] + phe__D_c[c] + 0.13238 prot_AOT13_RS06860[c]  -> glu__D_c[c] + phpyr_c[c] 	RTMO04036 or RTMO01867	  0.00	1000.00	  0.00
XYLK_No1	atp_c[c] + xylu__D_c[c] + 0.10102 prot_AOT13_RS11590[c]  -> adp_c[c] + xu5p__D_c[c] 	RTMO01749	  0.00	1000.00	  0.00
TKT1_No1	g3p_c[c] + s7p_c[c] + 0.012096 prot_AOT13_RS09760[c]  -> r5p_c[c] + xu5p__D_c[c] 	RTMO04464	  0.00	1000.00	  0.00
ABTA_No1	4abut_c[c] + akg_c[c] + 0.26973 prot_AOT13_RS11335[c]  -> glu__L_c[c] + sucsal_c[c] 	RTMO01695 or RTMO01698	  0.00	1000.00	  0.00
arm_FTHFLIG	10fthf_c[c] + atp_c[c] + glu__L_c[c]  -> pmet_FTHFLIG[c] 	RTMO02376	  0.00	1000.00	  0.00
FTHFLIG_No1	pmet_FTHFLIG[c] + 0.75064 prot_AOT13_RS17640[c]  -> adp_c[c] + ftethlg_c[c] + h_c[c] + pi_c[c] 	RTMO02376	  0.00	1000.00	  0.00
FTHFLIG_No2	pmet_FTHFLIG[c] + 0.75064 prot_AOT13_RS17640[c]  -> adp_c[c] + ftethlg_c[c] + h_c[c] + pi_c[c] 	RTMO02376	  0.00	1000.00	  0.00
arm_NTD3	dcmp_c[c] + h2o_c[c]  -> pmet_NTD3[c] 	RTMO03070 or RTMO02081	  0.00	1000.00	  0.00
NTD3_No1	0.092688 prot_AOT13_RS07950[c] + pmet_NTD3[c]  -> dcyt_c[c] + h_c[c] + pi_c[c] 	RTMO03070 or RTMO02081	  0.00	1000.00	  0.00
NTD3_No2	0.17322 prot_AOT13_RS00310[c] + pmet_NTD3[c]  -> dcyt_c[c] + h_c[c] + pi_c[c] 	RTMO03070 or RTMO02081	  0.00	1000.00	  0.00
arm_CYTK2	atp_c[c] + dcmp_c[c]  -> pmet_CYTK2[c] 	RTMO01021	  0.00	1000.00	  0.00
CYTK2_No1	6.1387 prot_GTHT12_02591[c] + pmet_CYTK2[c]  -> adp_c[c] + dcdp_c[c] 	RTMO01021	  0.00	1000.00	  0.00
CYTK2_No2	pmet_CYTK2[c] + 0.073699 prot_AOT13_RS15735[c]  -> adp_c[c] + dcdp_c[c] 	RTMO01021	  0.00	1000.00	  0.00
CYTK2_No3	pmet_CYTK2[c] + 0.065481 prot_GT20_1200[c]  -> adp_c[c] + dcdp_c[c] 	RTMO01021	  0.00	1000.00	  0.00
arm_ADADir	atp_c[c] + dcyt_c[c]  -> pmet_ADADir[c] 	RTMO02909	  0.00	1000.00	  0.00
ADADir_No1	0.63 prot_AOT13_RS00900[c] + pmet_ADADir[c]  -> adp_c[c] + dcmp_c[c] 	RTMO02909	  0.00	1000.00	  0.00
ADADir_No2	7.8125 prot_AOT13_RS02990[c] + pmet_ADADir[c]  -> adp_c[c] + dcmp_c[c] 	RTMO02909	  0.00	1000.00	  0.00
DCMPDA_No1	dcmp_c[c] + h2o_c[c] + h_c[c] + 0.013883 prot_AOT13_RS17065[c]  -> dump_c[c] + nh4_c[c] 	RTMO12345	  0.00	1000.00	  0.00
ISOMALHY_No1	h2o_c[c] + isomal_c[c] + 0.013702 prot_AOT13_RS06555[c]  -> 2 glc__D_c[c] 	RTMO05280 or RTMO00934	  0.00	1000.00	  0.00
NAMNPP_No1	adp_c[c] + h_c[c] + nicrnt_c[c] + pi_c[c] + ppi_c[c] + 0.26665 prot_AOT13_RS11835[c]  -> atp_c[c] + h2o_c[c] + nac_c[c] + prpp_c[c] 	RTMO04408	  0.00	  0.00	  0.00
LARGNAT_No1	asp__L_c[c] + pphn_c[c] + 0.11202 prot_AOT13_RS01060[c]  -> Largn_c[c] + oaa_c[c] 	RTMO03134 or RTMO00859	  0.00	  0.00	  0.00
GLYOX_No1	gthrd_c[c] + h_c[c] + lac__D_c[c] + 0.36907 prot_AOT13_RS16705[c]  -> h2o_c[c] + lgt__S_c[c] 	RTMO00067	  0.00	  0.00	  0.00
GNK_No1	atp_c[c] + glcn__D_c[c] + 0.023456 prot_AOT13_RS11225[c]  -> 6pgc_c[c] + adp_c[c] 	RTMO01669	  0.00	1000.00	  0.00
GLYALDDr_No1	glyald_c[c] + h2o_c[c] + nad_c[c] + 0.096759 prot_AOT13_RS05415[c]  -> glyc__R_c[c] + 2 h_c[c] + nadh_c[c] 	RTMO02625 or RTMO02613 or RTMO01884 or RTMO03151 or RTMO00551 or RTMO03923 or RTMO02577	  0.00	1000.00	  0.00
ARAI_No1	arab__L_c[c] + 0.10432 prot_AOT13_RS11480[c]  -> rbl__L_c[c] 	RTMO01728	  0.00	1000.00	  0.00
ARABINANHY_No1	arabinan_c[c] + 2 h2o_c[c] + 0.010551 prot_AOT13_RS11505[c]  -> 3 arab__L_c[c] 	RTMO01733 or RTMO01745	  0.00	1000.00	  0.00
HSST_No1	hom__L_c[c] + succoa_c[c] + 0.015518 prot_AOT13_RS12015[c]  -> coa_c[c] + suchms_c[c] 	RTMO02131	  0.00	1000.00	  0.00
FBA4_No1	xu1p__D_c[c] + 0.011876 prot_AOT13_RS05125[c]  -> dhap_c[c] + gcald_c[c] 	RTMO00472	  0.00	1000.00	  0.00
arm_DEXHY	dextrin_c[c] + h2o_c[c]  -> pmet_DEXHY[c] 	RTMO00934 or RTMO05280	  0.00	1000.00	  0.00
DEXHY_No1	pmet_DEXHY[c] + 0.32292 prot_I656_01475[c]  -> 2 glc__D_c[c] 	RTMO00934 or RTMO05280	  0.00	1000.00	  0.00
DEXHY_No2	0.054457 prot_AOT13_RS06555[c] + pmet_DEXHY[c]  -> 2 glc__D_c[c] 	RTMO00934 or RTMO05280	  0.00	1000.00	  0.00
MAN6PI_No1	man6p_c[c] + 0.032506 prot_AOT13_RS03270[c]  -> f6p_c[c] 	RTMO00243 or RTMO02851	  0.00	1000.00	  0.00
TKT2_No1	f6p_c[c] + g3p_c[c] + 0.012096 prot_AOT13_RS09760[c]  -> e4p_c[c] + xu5p__D_c[c] 	RTMO04464	  0.00	1000.00	  0.00
arm_PFK_3	atp_c[c] + s7p_c[c]  -> pmet_PFK_3[c] 	RTMO05024	  0.00	1000.00	  0.00
PFK_3_No1	0.65308 prot_AOT13_RS00900[c] + pmet_PFK_3[c]  -> adp_c[c] + s17bp_c[c] 	RTMO05024	  0.00	1000.00	  0.00
PFK_3_No2	0.010837 prot_AOT13_RS18175[c] + pmet_PFK_3[c]  -> adp_c[c] + s17bp_c[c] 	RTMO05024	  0.00	1000.00	  0.00
SBP_No1	h2o_c[c] + s17bp_c[c] + 0.10184 prot_AOT13_RS07950[c]  -> h_c[c] + pi_c[c] + s7p_c[c] 	RTMO03964	  0.00	1000.00	  0.00
ATDGDm_No1	atp_c[c] + dgdp_c[c] + 0.30175 prot_AOT13_RS15625[c]  -> adp_c[c] + dgtp_c[c] 	RTMO04294 or RTMO05248	  0.00	1000.00	  0.00
AGPOP_No1	dgtp_c[c] + pyr_c[c] + 0.0013946 prot_AOT13_RS18170[c]  -> dgdp_c[c] + pep_c[c] 	RTMO02253	  0.00	  0.00	  0.00
PPCOAC_No1	atp_c[c] + hco3_c[c] + ppcoa_c[c] + 0.086889 prot_AOT13_RS16270[c]  -> adp_c[c] + h_c[c] + mmcoa__S_c[c] + pi_c[c] 	RTMO03335 or RTMO03340	  0.00	1000.00	  0.00
arm_PUNP5	h_c[c] + ins_c[c] + pi_c[c]  -> pmet_PUNP5[c] 	RTMO00732 or RTMO01098	  0.00	1000.00	  0.00
PUNP5_No1	pmet_PUNP5[c] + 0.36726 prot_AOT13_RS00850[c]  -> hxan_c[c] + r1p_c[c] 	RTMO00732 or RTMO01098	  0.00	1000.00	  0.00
PUNP5_No2	0.40581 prot_AOT13_RS16145[c] + pmet_PUNP5[c]  -> hxan_c[c] + r1p_c[c] 	RTMO00732 or RTMO01098	  0.00	1000.00	  0.00
CYTD_No1	cytd_c[c] + h2o_c[c] + h_c[c] + 0.082129 prot_AOT13_RS16935[c]  -> nh4_c[c] + uri_c[c] 	RTMO04889	  0.00	1000.00	  0.00
ACONTb_No1	icit_c[c] + 0.28562 prot_AOT13_RS09835[c]  -> acon_C_c[c] + h2o_c[c] 	RTMO03752	  0.00	1000.00	  0.00
arm_NTD8	dgmp_c[c] + h2o_c[c]  -> pmet_NTD8[c] 	RTMO02081 or RTMO03070	  0.00	1000.00	  0.00
NTD8_No1	0.30971 prot_AOT13_RS07950[c] + pmet_NTD8[c]  -> dgsn_c[c] + h_c[c] + pi_c[c] 	RTMO02081 or RTMO03070	  0.00	1000.00	  0.00
NTD8_No2	0.26796 prot_AOT13_RS00310[c] + pmet_NTD8[c]  -> dgsn_c[c] + h_c[c] + pi_c[c] 	RTMO02081 or RTMO03070	  0.00	1000.00	  0.00
arm_PUNP4	dgsn_c[c] + h_c[c] + pi_c[c]  -> pmet_PUNP4[c] 	RTMO00732 or RTMO01098	  0.00	1000.00	  0.00
PUNP4_No1	pmet_PUNP4[c] + 0.77357 prot_AOT13_16120[c]  -> 2dr1p_c[c] + gua_c[c] 	RTMO00732 or RTMO01098	  0.00	1000.00	  0.00
PUNP4_No2	0.51512 prot_AOT13_RS16145[c] + pmet_PUNP4[c]  -> 2dr1p_c[c] + gua_c[c] 	RTMO00732 or RTMO01098	  0.00	1000.00	  0.00
HACD1_No1	3hbcoa_c[c] + nad_c[c] + 0.053401 prot_AOT13_RS00410[c]  -> aacoa_c[c] + h_c[c] + nadh_c[c] 	RTMO02306	  0.00	1000.00	  0.00
4ABUTD_No1	4abutn_c[c] + h2o_c[c] + nadp_c[c] + 0.26515 prot_AOT13_RS01645[c]  -> 4abut_c[c] + 2 h_c[c] + nadph_c[c] 	RTMO03923 or RTMO02577 or RTMO02613 or RTMO03151 or RTMO02625 or RTMO01884 or RTMO00551	  0.00	1000.00	  0.00
TRDR_No1	nadp_c[c] + trdrd_c[c] + 0.084221 prot_AOT13_RS00825[c]  -> h_c[c] + nadph_c[c] + trdox_c[c] 	RTMO04282 or RTMO02447 or RTMO05075 or RTMO03997	  0.00	  0.00	  0.00
RNDR1_No1	dadp_c[c] + h2o_c[c] + trdox_c[c] + 0.13503 prot_AOT13_RS06535[c]  -> adp_c[c] + h_c[c] + trdrd_c[c] 	RTMO00039 or RTMO04034 or RTMO04031 or RTMO00041	  0.00	  0.00	  0.00
RNDR2_No1	dgdp_c[c] + h2o_c[c] + trdox_c[c] + 0.40563 prot_AOT13_RS16590[c]  -> gdp_c[c] + trdrd_c[c] 	RTMO04034 or RTMO04031 or RTMO00041 or RTMO00039	  0.00	  0.00	  0.00
RNDR3_No1	dcdp_c[c] + h2o_c[c] + trdox_c[c] + 0.10709 prot_AOT13_RS06535[c]  -> cdp_c[c] + trdrd_c[c] 	RTMO04031 or RTMO00041 or RTMO04034 or RTMO00039	  0.00	  0.00	  0.00
HIBDm_No1	3hmp_c[c] + nad_c[c] + 0.10859 prot_AOT13_RS08145[c]  -> 2mop_c[c] + h_c[c] + nadh_c[c] 	RTMO00869 or RTMO01838	  0.00	1000.00	  0.00
AGDC_No1	acgam6p_c[c] + h2o_c[c] + 0.67195 prot_AOT13_RS15960[c]  -> ac_c[c] + gam6p_c[c] 	RTMO01051	  0.00	1000.00	  0.00
FRUK_No1	atp_c[c] + f1p_c[c] + 0.037111 prot_AOT13_RS11730[c]  -> adp_c[c] + fdp_c[c] 	RTMO01784	  0.00	1000.00	  0.00
arm_NTD6	damp_c[c] + h2o_c[c]  -> pmet_NTD6[c] 	RTMO03070 or RTMO02081	  0.00	1000.00	  0.00
NTD6_No1	0.12124 prot_AOT13_RS07950[c] + pmet_NTD6[c]  -> dad_2_c[c] + h_c[c] + pi_c[c] 	RTMO03070 or RTMO02081	  0.00	1000.00	  0.00
NTD6_No2	0.25122 prot_AOT13_RS00310[c] + pmet_NTD6[c]  -> dad_2_c[c] + h_c[c] + pi_c[c] 	RTMO03070 or RTMO02081	  0.00	1000.00	  0.00
arm_DGK1	atp_c[c] + dgmp_c[c]  -> pmet_DGK1[c] 	RTMO02531	  0.00	1000.00	  0.00
DGK1_No1	8.9526 prot_GTHT12_02591[c] + pmet_DGK1[c]  -> adp_c[c] + dgdp_c[c] 	RTMO02531	  0.00	1000.00	  0.00
DGK1_No2	8.9526 prot_GTHT12_02591[c] + pmet_DGK1[c]  -> adp_c[c] + dgdp_c[c] 	RTMO02531	  0.00	1000.00	  0.00
DGK1_No3	pmet_DGK1[c] + 0.16345 prot_AOT13_RS08835[c]  -> adp_c[c] + dgdp_c[c] 	RTMO02531	  0.00	1000.00	  0.00
arm_DTMPK	atp_c[c] + dtmp_c[c]  -> pmet_DTMPK[c] 	RTMO00981 or RTMO00980 or RTMO02920	  0.00	1000.00	  0.00
